"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","promotion_last_5years","salary","Status"
"542",0.81,0.87,4,254,5,0,0,"0","left"
"546",0.78,1,5,236,5,0,0,"1","left"
"553",0.82,0.85,5,248,5,0,0,"0","left"
"555",0.43,0.53,2,150,3,0,0,"0","left"
"563",0.4,0.57,2,160,3,0,0,"0","left"
"564",0.1,0.77,7,291,4,0,0,"0","left"
"567",0.11,0.79,7,310,4,0,0,"0","left"
"569",0.44,0.51,2,134,3,0,0,"1","left"
"570",0.25,0.46,4,214,4,0,0,"1","left"
"579",0.9,0.96,5,243,5,0,0,"1","left"
"611",0.09,0.95,7,256,4,0,0,"1","left"
"613",0.37,0.47,2,138,3,1,0,"1","left"
"617",0.39,0.49,2,144,3,0,0,"1","left"
"626",0.78,0.98,5,263,6,0,0,"0","left"
"629",0.72,0.85,5,244,6,0,0,"0","left"
"631",0.1,0.9,7,286,4,0,0,"0","left"
"636",0.39,0.57,2,127,3,0,0,"0","left"
"642",0.74,0.97,4,228,5,0,0,"0","left"
"650",0.46,0.5,2,156,3,0,0,"1","left"
"659",0.38,0.53,2,146,3,0,0,"0","left"
"663",0.78,0.89,5,274,6,0,0,"1","left"
"667",0.46,0.62,6,213,3,0,0,"0","left"
"673",0.46,0.57,2,154,3,0,0,"0","left"
"677",0.11,0.82,6,270,4,0,0,"0","left"
"682",0.4,0.49,2,128,3,0,0,"0","left"
"683",0.11,0.87,7,278,4,0,0,"0","left"
"690",0.87,1,4,228,5,0,0,"1","left"
"699",0.43,0.48,2,135,3,0,0,"1","left"
"707",0.79,0.93,4,226,5,0,0,"0","left"
"722",0.31,0.87,4,184,3,0,0,"0","left"
"729",0.43,0.49,2,160,3,0,0,"1","left"
"734",0.38,0.45,2,129,3,0,0,"1","left"
"740",0.11,0.85,7,275,4,0,0,"1","left"
"747",0.36,0.5,2,132,3,0,0,"0","left"
"748",0.43,0.51,2,130,3,0,0,"0","left"
"749",0.4,0.5,2,127,3,0,0,"0","left"
"768",0.44,0.54,2,127,3,0,0,"1","left"
"769",0.1,0.84,6,293,5,0,0,"1","left"
"773",0.31,0.77,4,149,3,0,0,"1","left"
"774",0.42,0.54,2,159,3,0,0,"1","left"
"780",0.11,0.9,7,247,4,0,0,"1","left"
"781",0.44,0.65,3,271,4,0,0,"0","left"
"791",0.23,0.99,4,204,4,1,0,"0","left"
"792",0.11,0.87,6,301,4,0,0,"0","left"
"794",0.91,0.89,4,247,5,0,0,"0","left"
"799",0.11,0.93,6,253,4,1,0,"0","left"
"807",0.45,0.54,2,138,3,0,0,"1","left"
"811",0.84,0.93,5,236,5,0,0,"1","left"
"812",0.09,0.97,7,288,4,0,0,"1","left"
"814",0.15,0.55,6,139,4,0,0,"2","left"
"828",0.7,0.74,6,136,3,0,0,"0","left"
"830",0.38,0.53,2,138,3,0,0,"0","left"
"842",0.11,0.85,6,299,4,0,0,"1","left"
"846",0.44,0.51,2,146,3,0,0,"1","left"
"855",0.79,0.9,5,263,5,0,0,"1","left"
"858",0.11,0.78,6,303,4,0,0,"1","left"
"861",0.79,1,4,218,5,0,0,"0","left"
"862",0.43,0.48,2,144,3,0,0,"0","left"
"866",0.82,0.85,5,218,5,0,0,"0","left"
"870",0.38,0.57,2,152,3,1,0,"0","left"
"874",0.78,1,5,220,5,0,0,"0","left"
"882",0.89,1,5,253,5,0,0,"1","left"
"888",0.41,0.51,2,137,3,0,0,"1","left"
"908",0.09,0.86,6,291,4,0,0,"0","left"
"914",0.44,0.49,2,127,3,1,0,"0","left"
"917",0.11,0.82,6,304,4,1,0,"0","left"
"918",0.38,0.55,2,145,3,0,0,"0","left"
"922",0.4,0.48,2,138,3,0,0,"1","left"
"932",0.9,0.92,5,154,4,0,0,"0","left"
"936",0.44,0.49,2,130,3,0,0,"1","left"
"939",0.1,0.89,6,246,4,0,0,"0","left"
"943",0.11,0.89,6,301,4,0,0,"0","left"
"951",0.09,0.9,7,289,5,0,0,"0","left"
"956",0.1,0.91,6,262,5,1,0,"0","left"
"961",0.39,0.51,2,132,3,0,0,"1","left"
"965",0.38,0.5,2,150,3,1,0,"1","left"
"973",0.11,0.74,6,290,5,0,0,"1","left"
"977",0.92,0.94,5,307,5,0,0,"0","left"
"983",0.85,0.97,4,266,6,0,0,"0","left"
"990",0.4,0.46,2,144,3,0,0,"0","left"
"992",0.76,0.91,4,219,5,0,0,"0","left"
"1011",0.43,0.53,2,152,3,0,0,"1","left"
"1013",0.1,0.87,6,284,4,0,0,"1","left"
"1014",0.11,0.78,7,248,4,0,0,"1","left"
"1025",0.42,0.47,2,129,3,0,0,"0","left"
"1029",0.88,0.89,4,275,5,0,0,"0","left"
"1035",0.1,0.86,6,266,4,1,0,"0","left"
"1040",0.82,1,4,273,6,0,0,"1","left"
"1058",0.4,0.51,2,136,3,0,0,"0","left"
"1060",0.7,0.93,2,310,3,0,0,"0","left"
"1065",0.47,0.81,4,133,3,0,0,"0","left"
"1072",0.9,0.95,5,275,3,0,0,"0","left"
"1073",0.53,0.95,6,205,4,0,0,"0","left"
"1077",0.09,0.79,6,276,4,0,0,"1","left"
"1080",0.86,0.95,5,269,6,0,0,"1","left"
"1086",0.77,1,4,272,5,0,0,"1","left"
"1087",0.9,0.86,5,254,5,0,0,"2","left"
"1091",0.38,0.54,2,150,3,0,0,"1","left"
"1101",0.11,0.83,6,262,4,0,0,"0","left"
"1103",0.43,0.47,2,130,3,0,0,"0","left"
"1107",0.44,0.57,2,139,3,0,0,"0","left"
"1114",0.1,0.87,6,306,4,0,0,"1","left"
"1123",0.39,0.57,2,131,3,0,0,"1","left"
"1124",0.1,0.9,7,301,4,0,0,"1","left"
"1130",0.11,0.93,6,290,4,0,0,"1","left"
"1132",0.37,0.48,2,160,3,0,0,"0","left"
"1147",0.8,0.95,5,217,5,0,0,"0","left"
"1153",0.39,0.55,2,152,3,1,0,"1","left"
"1156",0.11,0.89,6,301,4,0,0,"1","left"
"1157",0.4,0.51,2,156,3,0,0,"1","left"
"1166",0.1,0.96,6,303,4,0,0,"0","left"
"1172",0.11,0.91,6,302,4,0,0,"0","left"
"1173",0.45,0.49,2,144,3,0,0,"0","left"
"1179",0.85,0.89,4,221,5,0,0,"0","left"
"1186",0.43,0.49,2,135,3,0,0,"0","left"
"1188",0.1,0.93,6,299,4,0,0,"0","left"
"1189",0.09,0.8,5,279,4,0,0,"0","left"
"1193",0.44,0.51,2,129,3,0,0,"1","left"
"1196",0.8,0.85,4,264,5,0,0,"1","left"
"1200",0.75,0.74,6,134,3,0,0,"1","left"
"1203",0.44,0.55,2,136,3,0,0,"1","left"
"1204",0.42,0.97,6,259,4,0,0,"2","left"
"1211",0.11,0.83,6,268,4,0,0,"0","left"
"1213",0.75,0.83,5,262,5,0,0,"0","left"
"1223",0.4,0.46,2,134,3,0,0,"0","left"
"1224",0.75,0.89,4,228,5,0,0,"0","left"
"1228",0.39,0.54,2,131,3,0,0,"0","left"
"1246",0.1,0.93,6,288,4,0,0,"1","left"
"1260",0.45,0.48,2,138,3,0,0,"0","left"
"1263",0.11,0.84,6,252,4,0,0,"0","left"
"1264",0.36,0.51,2,143,3,0,0,"0","left"
"1270",0.45,0.55,2,129,3,0,0,"1","left"
"1271",0.38,0.57,2,131,3,0,0,"1","left"
"1278",0.78,1,4,267,5,0,0,"1","left"
"1279",0.38,0.56,2,148,3,0,0,"1","left"
"1281",0.36,0.48,2,148,3,1,0,"1","left"
"1291",0.39,0.51,2,139,3,0,0,"0","left"
"1294",0.72,1,2,240,2,0,0,"0","left"
"1295",0.44,0.55,2,137,3,0,0,"0","left"
"1296",0.38,0.5,2,139,3,0,0,"0","left"
"1302",0.46,0.48,2,161,3,0,0,"0","left"
"1308",0.44,0.5,2,135,3,0,0,"0","left"
"1312",0.39,0.49,2,146,3,0,0,"1","left"
"1317",0.88,1,5,247,5,0,0,"1","left"
"1319",0.11,0.96,6,267,4,0,0,"1","left"
"1323",0.78,0.86,4,249,5,0,0,"1","left"
"1326",0.42,0.53,2,131,3,0,0,"1","left"
"1332",0.09,0.86,6,297,4,0,0,"0","left"
"1334",0.11,0.89,7,257,4,0,0,"0","left"
"1339",0.51,0.79,4,134,3,0,0,"0","left"
"1344",0.44,0.54,2,150,3,0,0,"0","left"
"1348",0.1,0.96,6,292,4,0,0,"1","left"
"1352",0.11,0.77,6,274,4,0,0,"1","left"
"1354",0.79,0.97,4,243,5,0,0,"1","left"
"1357",0.1,0.79,6,271,4,0,0,"1","left"
"1365",0.41,0.52,2,147,3,0,0,"1","left"
"1369",0.41,0.52,2,132,3,0,0,"0","left"
"1370",0.11,0.89,6,284,4,0,0,"0","left"
"1385",0.11,0.91,6,279,4,0,0,"0","left"
"1390",0.4,0.49,2,151,3,0,0,"1","left"
"1392",0.72,1,4,169,3,0,0,"1","left"
"1395",0.41,0.52,2,142,3,0,0,"1","left"
"1402",0.11,0.87,6,272,4,0,0,"1","left"
"1412",0.32,0.6,2,280,4,0,0,"0","left"
"1421",0.44,0.57,2,145,3,0,0,"0","left"
"1431",0.43,0.52,2,156,3,0,0,"1","left"
"1457",0.39,0.51,2,155,3,0,0,"0","left"
"1459",0.4,0.5,2,136,3,0,0,"0","left"
"1466",0.45,0.47,2,146,3,0,0,"1","left"
"1473",0.43,0.48,2,157,3,0,0,"1","left"
"1483",0.09,0.77,6,310,4,0,0,"0","left"
"1484",0.11,0.87,6,254,4,0,0,"0","left"
"1488",0.45,0.52,2,147,3,0,0,"0","left"
"1506",0.37,0.46,2,157,3,0,0,"1","left"
"1508",0.43,0.48,2,149,3,0,0,"1","left"
"1509",0.88,0.88,5,248,5,0,0,"1","left"
"1514",0.84,0.93,4,250,5,0,0,"1","left"
"1516",0.72,0.99,5,257,5,0,0,"2","left"
"1531",0.83,0.98,4,249,5,0,0,"0","left"
"1534",0.44,0.53,2,146,3,0,0,"0","left"
"1536",0.39,0.52,2,148,3,1,0,"0","left"
"1539",0.41,0.54,2,135,3,0,0,"0","left"
"1551",0.09,0.87,7,305,4,0,0,"1","left"
"1555",0.9,0.83,4,266,5,0,0,"2","left"
"1560",0.77,0.82,4,217,5,0,0,"1","left"
"1562",0.11,0.88,6,290,4,0,0,"0","left"
"1563",0.44,0.57,2,148,3,0,0,"0","left"
"1565",0.12,0.8,5,136,2,0,0,"0","left"
"1570",0.37,0.48,2,153,3,0,0,"0","left"
"1594",0.1,0.87,6,307,4,0,0,"2","left"
"1605",0.87,0.94,5,219,5,0,0,"0","left"
"1612",0.09,0.92,7,301,4,0,0,"0","left"
"1627",0.1,0.87,6,265,5,0,0,"1","left"
"1630",0.86,0.97,5,269,5,0,0,"1","left"
"1637",0.36,0.49,2,133,3,0,0,"1","left"
"1657",0.84,0.85,5,260,5,0,0,"0","left"
"1659",0.81,0.97,5,230,5,0,0,"0","left"
"1665",0.1,0.96,6,264,4,0,0,"1","left"
"1679",0.75,0.89,5,276,5,0,0,"0","left"
"1687",0.22,0.86,4,293,3,0,0,"0","left"
"1689",0.41,0.48,2,155,3,0,0,"0","left"
"1694",0.42,0.53,2,132,3,1,0,"0","left"
"1700",0.43,0.46,2,126,3,0,0,"1","left"
"1707",0.41,0.54,2,133,3,0,0,"1","left"
"1710",0.1,0.81,6,269,4,0,0,"1","left"
"1712",0.42,0.5,2,143,3,0,0,"0","left"
"1714",0.63,0.93,5,163,3,0,0,"1","left"
"1722",0.26,0.46,2,242,3,0,0,"0","left"
"1724",0.11,0.87,6,280,4,0,0,"0","left"
"1738",0.1,0.83,6,271,4,0,0,"1","left"
"1744",0.37,0.46,2,127,3,0,0,"1","left"
"1748",0.39,0.48,2,159,3,0,0,"1","left"
"1751",0.88,0.97,4,255,5,1,0,"0","left"
"1753",0.1,0.95,6,264,5,0,0,"1","left"
"1759",0.45,0.51,2,149,3,0,0,"0","left"
"1761",0.37,0.55,2,140,3,0,0,"0","left"
"1769",0.37,0.52,2,141,3,0,0,"0","left"
"1770",0.4,0.47,2,144,3,1,0,"0","left"
"1771",0.84,1,5,250,5,0,0,"0","left"
"1777",0.43,0.47,2,248,2,0,0,"1","left"
"1781",0.76,0.84,5,227,5,1,0,"1","left"
"1782",0.44,0.51,2,135,3,0,0,"1","left"
"1788",0.45,0.57,2,138,3,0,0,"1","left"
"1796",0.85,0.96,4,217,5,0,0,"0","left"
"1800",0.38,0.5,2,145,3,0,0,"0","left"
"1806",0.1,0.87,6,254,5,0,0,"0","left"
"1809",0.36,0.48,2,136,3,0,0,"0","left"
"1838",0.1,0.79,6,275,4,0,0,"0","left"
"1840",0.36,0.49,2,147,3,0,0,"0","left"
"1843",0.38,0.51,2,159,3,0,0,"0","left"
"1845",0.37,0.51,2,154,3,1,0,"0","left"
"1849",0.78,0.86,5,274,5,0,0,"0","left"
"1853",0.39,0.49,2,142,3,0,0,"0","left"
"1854",0.36,0.51,2,130,3,0,0,"0","left"
"1861",0.75,1,5,223,6,0,0,"1","left"
"1864",0.1,0.81,7,244,5,0,0,"1","left"
"1865",0.37,0.5,2,154,3,0,0,"1","left"
"1874",0.09,0.93,6,279,4,0,0,"0","left"
"1882",0.4,0.48,2,142,3,0,0,"0","left"
"1890",0.11,0.95,6,279,4,0,0,"0","left"
"1895",0.11,0.89,6,268,4,0,0,"1","left"
"1899",0.44,0.53,2,155,3,0,0,"1","left"
"1911",0.1,0.84,5,303,5,0,0,"1","left"
"1912",0.91,0.98,4,242,6,0,0,"0","left"
"1921",0.37,0.49,2,148,3,0,0,"0","left"
"1927",0.78,0.66,3,164,3,0,0,"0","left"
"1938",0.36,0.52,2,143,3,0,0,"1","left"
"1943",0.4,0.47,2,144,3,0,0,"1","left"
"1948",0.72,0.84,5,257,5,0,0,"1","left"
"1949",0.4,0.56,2,148,3,0,0,"1","left"
"1952",0.9,0.7,5,206,4,0,0,"0","left"
"1954",0.43,0.57,2,159,3,1,0,"0","left"
"1959",0.4,0.57,2,151,3,0,0,"0","left"
"1982",0.76,1,4,220,6,0,0,"1","left"
"1984",0.43,0.48,2,136,3,0,0,"2","left"
"1985",0.4,0.49,2,160,3,0,0,"0","left"
"1986",0.11,0.84,7,310,4,0,0,"1","left"
"1987",0.84,0.82,5,240,5,0,0,"1","left"
"1991",0.42,0.56,2,137,3,0,0,"0","left"
"1997",0.11,0.92,7,293,4,0,0,"0","left"
"2001",0.58,0.74,4,215,3,0,0,"0","Working"
"2004",0.78,0.82,5,247,3,0,0,"0","Working"
"2006",0.36,0.95,3,206,4,0,0,"0","Working"
"2008",0.99,0.91,5,136,4,0,0,"0","Working"
"2011",0.56,0.58,4,258,3,0,0,"1","Working"
"2014",0.73,0.62,3,218,3,0,0,"1","Working"
"2015",0.59,0.87,3,268,4,0,0,"1","Working"
"2018",0.41,0.84,6,191,6,0,0,"1","Working"
"2021",0.79,0.97,5,266,2,0,0,"1","Working"
"2024",1,0.41,4,174,3,0,0,"0","Working"
"2043",0.71,0.92,3,202,4,0,0,"0","Working"
"2048",0.87,0.5,3,242,2,0,0,"0","Working"
"2050",0.58,0.55,4,202,3,0,0,"1","Working"
"2051",0.58,0.84,5,228,3,0,0,"1","Working"
"2054",0.41,0.68,3,165,3,1,0,"1","Working"
"2057",0.81,0.61,5,231,2,0,0,"1","Working"
"2065",0.86,0.91,4,147,3,0,0,"1","Working"
"2067",0.81,0.99,5,143,3,0,0,"1","Working"
"2071",0.86,0.99,3,169,2,1,0,"0","Working"
"2081",0.69,0.66,5,106,5,0,0,"0","Working"
"2094",0.58,0.9,3,212,3,0,0,"1","Working"
"2099",0.76,0.74,5,132,3,0,0,"1","Working"
"2124",0.84,0.89,4,187,2,1,0,"0","Working"
"2134",0.62,0.59,3,128,3,0,0,"1","Working"
"2138",0.52,0.43,2,199,2,0,0,"1","Working"
"2145",0.96,0.6,4,185,3,0,0,"1","Working"
"2151",0.69,0.74,3,215,2,0,0,"0","Working"
"2156",0.26,0.83,3,168,3,0,0,"0","Working"
"2159",0.55,0.81,4,260,2,0,0,"0","Working"
"2164",1,0.49,3,185,2,0,0,"0","Working"
"2168",0.92,0.84,4,208,2,0,0,"1","Working"
"2179",0.21,0.82,4,207,5,0,0,"2","Working"
"2205",0.84,0.79,4,266,3,1,0,"0","Working"
"2213",0.91,0.89,4,197,4,0,0,"1","Working"
"2218",0.56,0.97,5,163,2,0,0,"2","Working"
"2221",0.75,0.51,4,138,4,0,0,"1","Working"
"2222",0.78,0.81,4,232,3,0,0,"1","Working"
"2229",0.89,0.68,3,175,2,0,0,"0","Working"
"2231",0.93,0.8,4,248,3,0,0,"0","Working"
"2240",0.72,0.93,4,148,2,0,0,"0","Working"
"2242",0.96,1,5,162,3,0,0,"0","Working"
"2243",0.7,0.59,4,216,3,0,0,"0","Working"
"2247",0.67,0.85,3,160,4,0,0,"1","Working"
"2248",0.78,0.8,4,194,2,1,0,"1","Working"
"2251",0.16,0.9,5,258,3,0,0,"1","Working"
"2253",0.62,0.98,4,137,3,0,0,"1","Working"
"2262",0.83,0.54,4,259,5,0,0,"1","Working"
"2267",0.55,0.51,3,190,3,0,0,"0","Working"
"2273",0.97,0.88,3,204,2,0,0,"0","Working"
"2279",0.78,0.99,3,151,3,1,0,"0","Working"
"2289",0.47,0.9,3,101,2,1,0,"1","Working"
"2294",0.75,0.77,4,136,3,0,0,"1","Working"
"2302",0.91,0.61,2,272,2,0,0,"0","Working"
"2312",0.65,0.5,5,270,2,0,0,"0","Working"
"2324",0.86,0.7,5,160,3,0,0,"1","Working"
"2326",0.58,0.55,5,206,3,0,0,"1","Working"
"2328",0.38,0.64,3,111,3,0,0,"1","Working"
"2329",0.62,0.64,3,240,2,0,0,"1","Working"
"2331",0.3,0.44,3,129,2,0,0,"1","Working"
"2336",0.97,0.77,3,182,2,1,0,"0","Working"
"2344",0.82,0.97,3,115,2,1,0,"0","Working"
"2345",0.94,0.9,5,191,4,0,0,"0","Working"
"2347",0.59,0.43,3,173,3,0,0,"0","Working"
"2348",0.69,0.89,4,174,2,0,0,"0","Working"
"2350",0.67,0.67,4,192,4,0,0,"0","Working"
"2353",0.54,0.73,2,100,3,0,0,"0","Working"
"2356",0.46,0.58,4,171,3,0,0,"0","Working"
"2367",0.22,0.74,3,199,6,0,0,"1","Working"
"2370",0.48,0.69,4,245,3,0,0,"1","Working"
"2372",0.78,0.98,5,158,2,0,0,"1","Working"
"2374",0.38,0.69,3,99,3,1,0,"2","Working"
"2380",0.97,0.97,5,192,2,0,0,"0","Working"
"2385",0.5,0.81,3,148,2,0,0,"0","Working"
"2387",0.84,0.51,6,141,2,1,0,"0","Working"
"2390",0.93,0.63,3,160,4,1,0,"0","Working"
"2397",0.48,0.82,3,183,2,0,0,"0","Working"
"2402",0.6,0.85,3,209,2,1,0,"1","Working"
"2405",0.16,0.76,5,192,3,0,0,"1","Working"
"2421",0.15,0.51,6,248,5,0,0,"0","Working"
"2426",0.9,0.74,4,206,4,1,0,"0","Working"
"2427",0.65,0.4,2,141,2,0,0,"0","Working"
"2434",0.87,0.84,5,137,2,0,0,"0","Working"
"2436",0.21,0.7,6,130,6,1,0,"0","Working"
"2438",0.72,0.86,4,191,2,0,0,"0","Working"
"2440",0.66,0.58,3,205,3,0,0,"1","Working"
"2456",0.47,0.57,3,162,3,1,0,"1","Working"
"2461",0.86,0.72,4,167,2,0,0,"0","Working"
"2462",0.14,0.77,4,166,5,0,0,"0","Working"
"2471",0.62,0.72,5,180,3,0,0,"0","Working"
"2476",0.32,0.42,2,99,4,0,0,"0","Working"
"2480",0.96,0.88,4,165,2,0,0,"1","Working"
"2488",0.82,0.68,2,285,2,0,0,"1","Working"
"2495",0.94,0.91,3,163,3,0,0,"1","Working"
"2496",0.76,0.84,4,236,4,0,0,"1","Working"
"2499",0.45,0.52,2,105,3,0,0,"0","Working"
"2506",0.9,0.89,5,249,3,1,0,"0","Working"
"2512",0.5,0.78,3,228,2,0,0,"0","Working"
"2519",0.63,0.98,4,175,2,0,0,"1","Working"
"2525",0.65,0.67,5,128,5,0,0,"1","Working"
"2531",0.49,0.8,2,275,2,0,0,"0","Working"
"2541",0.9,0.84,2,199,3,0,0,"0","Working"
"2543",0.94,0.82,3,187,3,0,0,"0","Working"
"2549",0.69,0.5,3,208,4,0,0,"0","Working"
"2553",0.3,0.37,6,278,3,0,0,"0","Working"
"2556",0.56,0.94,3,226,2,0,0,"0","Working"
"2562",0.78,0.84,3,269,2,0,0,"1","Working"
"2567",0.63,0.86,4,271,3,1,0,"1","Working"
"2569",0.21,0.9,4,271,6,0,0,"2","Working"
"2572",0.78,0.82,4,143,3,0,0,"1","Working"
"2573",0.67,0.65,5,156,2,0,0,"1","Working"
"2575",0.26,0.67,2,242,6,0,0,"0","Working"
"2576",0.89,0.83,5,267,4,0,0,"0","Working"
"2591",0.68,0.9,2,133,4,0,0,"0","Working"
"2592",0.21,0.61,3,173,2,0,0,"0","Working"
"2593",0.81,0.5,4,152,3,1,0,"0","Working"
"2597",0.76,0.64,3,189,3,0,0,"1","Working"
"2599",0.5,0.93,6,150,3,1,0,"1","Working"
"2622",0.85,0.55,4,260,2,1,0,"0","Working"
