"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","promotion_last_5years","salary","Status"
"209",0.44,0.5,2,128,3,0,0,"0","left"
"210",0.38,0.52,2,153,3,0,0,"0","left"
"211",0.43,0.46,2,156,3,0,0,"0","left"
"212",0.39,0.5,4,294,3,0,0,"0","left"
"213",0.88,1,5,219,5,0,0,"0","left"
"214",0.45,0.46,2,153,3,0,0,"0","left"
"216",0.36,0.51,2,155,3,0,0,"0","left"
"217",0.36,0.48,2,158,3,0,0,"0","left"
"218",0.9,0.98,5,245,5,0,0,"0","left"
"219",0.43,0.53,2,131,3,0,0,"0","left"
"220",0.89,0.87,5,225,5,0,0,"0","left"
"221",0.1,0.84,6,286,4,0,0,"0","left"
"222",0.37,0.5,2,135,3,0,0,"0","left"
"223",0.37,0.51,2,153,3,0,0,"0","left"
"224",0.87,0.9,5,252,5,0,0,"0","left"
"225",0.4,0.56,2,149,3,0,0,"0","left"
"226",0.9,0.97,4,258,5,0,0,"0","left"
"227",0.37,0.46,2,158,3,0,0,"0","left"
"228",0.44,0.54,2,149,3,0,0,"0","left"
"230",0.78,0.98,5,239,6,0,0,"0","left"
"231",0.42,0.47,2,159,3,0,0,"0","left"
"232",0.92,0.99,5,255,6,0,0,"0","left"
"233",0.11,0.83,6,244,4,0,0,"0","left"
"234",0.42,0.56,2,134,3,0,0,"0","left"
"235",0.48,0.57,4,270,4,0,0,"0","left"
"237",0.4,0.53,2,151,3,0,0,"0","left"
"239",0.43,0.53,2,146,3,0,0,"0","left"
"240",0.1,0.97,7,254,4,0,0,"0","left"
"241",0.1,0.87,7,289,4,0,0,"0","left"
"242",0.37,0.46,2,156,3,0,0,"0","left"
"243",0.38,0.53,2,156,3,0,0,"0","left"
"244",0.4,0.5,2,128,3,0,0,"0","left"
"245",0.89,0.86,5,275,5,0,0,"0","left"
"246",0.45,0.46,2,155,3,0,0,"0","left"
"247",0.37,0.48,2,159,3,0,0,"0","left"
"248",0.46,0.49,2,148,3,0,0,"0","left"
"250",0.11,0.84,6,298,4,0,0,"0","left"
"251",0.79,0.87,5,261,5,0,0,"0","left"
"253",0.19,0.59,7,192,3,0,0,"0","left"
"254",0.87,0.98,4,248,5,0,0,"0","left"
"255",0.6,0.92,2,258,5,0,0,"0","left"
"256",0.44,0.45,2,156,3,0,0,"1","left"
"258",0.42,0.54,2,156,3,0,0,"1","left"
"259",0.88,0.88,5,232,5,1,0,"1","left"
"260",0.11,0.84,6,287,4,0,0,"1","left"
"261",0.46,0.46,2,154,3,0,0,"1","left"
"262",0.82,0.97,5,263,5,0,0,"1","left"
"263",0.44,0.56,2,131,3,0,0,"1","left"
"264",0.11,0.78,6,260,4,0,0,"1","left"
"267",0.11,0.95,6,286,4,0,0,"1","left"
"268",0.45,0.53,2,129,3,0,0,"2","left"
"269",0.38,0.56,2,156,3,0,0,"0","left"
"271",0.44,0.51,2,127,3,0,0,"1","left"
"272",0.11,0.84,6,251,4,0,0,"1","left"
"273",0.81,0.93,5,270,5,0,0,"1","left"
"274",0.09,0.96,6,296,4,0,0,"0","left"
"276",0.81,0.95,5,238,6,0,0,"0","left"
"277",0.1,0.97,6,267,4,1,0,"0","left"
"278",0.74,0.89,5,229,6,0,0,"0","left"
"280",0.82,0.81,4,233,4,1,0,"0","left"
"281",0.1,0.98,6,268,4,0,0,"0","left"
"282",0.27,0.56,3,301,3,0,0,"0","left"
"283",0.83,0.92,5,267,6,0,0,"0","left"
"284",0.1,0.93,6,289,4,1,0,"0","left"
"285",0.38,0.47,2,144,3,0,0,"0","left"
"286",0.4,0.56,2,148,3,0,0,"0","left"
"287",0.11,0.83,6,306,4,0,0,"0","left"
"288",0.11,0.79,6,292,4,0,1,"0","left"
"289",0.82,0.91,5,232,5,0,0,"0","left"
"290",0.36,0.48,2,137,3,0,0,"0","left"
"291",0.4,0.46,2,128,3,0,0,"0","left"
"293",0.41,0.49,2,146,3,0,0,"0","left"
"294",0.11,0.91,6,308,4,1,0,"0","left"
"295",0.1,0.93,6,253,4,0,0,"1","left"
"296",0.38,0.51,2,146,3,0,0,"1","left"
"297",0.39,0.55,2,156,3,0,0,"1","left"
"298",0.4,0.52,2,147,3,0,0,"1","left"
"299",0.45,0.48,2,136,3,0,0,"1","left"
"300",0.74,0.84,5,249,5,0,0,"1","left"
"302",0.12,1,3,278,4,0,0,"1","left"
"304",0.37,0.55,2,127,3,0,0,"1","left"
"305",0.89,0.87,5,255,5,0,0,"1","left"
"306",0.45,0.47,2,135,3,0,0,"1","left"
"307",0.37,0.46,2,149,3,0,0,"2","left"
"308",0.11,0.81,5,287,4,0,0,"0","left"
"309",0.41,0.48,2,145,3,0,0,"1","left"
"312",0.11,0.95,7,300,4,0,0,"1","left"
"314",0.41,0.49,2,130,3,0,0,"0","left"
"315",0.1,0.81,6,268,4,0,0,"0","left"
"316",0.73,0.86,4,245,6,0,0,"0","left"
"318",0.37,0.46,2,153,3,0,0,"0","left"
"319",0.11,0.94,6,276,4,0,0,"0","left"
"321",0.41,0.54,2,153,3,1,0,"0","left"
"322",0.82,0.84,5,244,5,0,0,"0","left"
"323",0.61,0.47,2,253,3,0,0,"0","left"
"324",0.11,0.91,7,287,4,0,0,"0","left"
"325",0.37,0.45,2,131,3,0,0,"0","left"
"327",0.37,0.52,2,157,3,0,0,"0","left"
"328",0.88,0.99,5,262,6,0,0,"0","left"
"330",0.44,0.48,2,148,3,0,0,"0","left"
"332",0.11,0.85,7,302,4,0,0,"0","left"
"333",0.09,0.98,6,271,4,0,0,"0","left"
"334",0.45,0.52,2,145,3,0,0,"1","left"
"335",0.1,0.81,6,290,4,0,0,"1","left"
"336",0.45,0.47,2,151,3,0,0,"1","left"
"338",0.44,0.51,2,140,3,0,0,"1","left"
"339",0.39,0.5,2,142,3,0,0,"1","left"
"340",0.1,0.91,6,246,4,0,0,"1","left"
"343",0.9,1,5,232,5,0,0,"1","left"
"344",0.41,0.56,2,143,3,0,0,"1","left"
"345",0.37,0.52,2,155,3,0,0,"1","left"
"346",0.1,0.86,6,278,4,0,0,"2","left"
"347",0.81,1,4,253,5,0,0,"0","left"
"348",0.11,0.8,6,282,4,0,0,"1","left"
"349",0.11,0.84,7,264,4,0,0,"1","left"
"350",0.4,0.46,2,149,3,0,0,"1","left"
"351",0.09,0.8,6,304,5,0,0,"1","left"
"353",0.91,0.91,4,262,6,0,0,"0","left"
"354",0.43,0.57,2,135,3,0,0,"0","left"
"355",0.33,0.88,6,219,5,0,0,"0","left"
"356",0.41,0.57,2,136,3,0,0,"0","left"
"357",0.41,0.55,2,154,3,0,0,"0","left"
"358",0.37,0.54,2,149,3,0,0,"0","left"
"359",0.31,0.62,6,135,5,0,0,"0","left"
"360",0.09,0.91,6,275,4,0,0,"0","left"
"361",0.1,0.87,6,290,4,0,0,"0","left"
"362",0.76,0.9,4,263,5,0,0,"0","left"
"363",0.41,0.54,2,145,3,0,0,"0","left"
"364",0.72,0.96,5,267,5,0,0,"0","left"
"365",0.4,0.5,2,141,3,1,0,"0","left"
"366",0.91,0.87,4,235,5,0,0,"0","left"
"367",0.1,0.83,6,258,4,0,0,"0","left"
"368",0.4,0.56,2,131,3,0,0,"0","left"
"369",0.82,0.86,5,243,5,0,0,"0","left"
"370",0.1,0.82,6,266,4,0,0,"0","left"
"373",0.39,0.48,2,141,3,0,0,"1","left"
"374",0.36,0.57,2,142,3,0,0,"1","left"
"375",0.86,0.84,5,254,5,0,0,"1","left"
"376",0.73,0.99,5,262,5,0,0,"1","left"
"377",0.56,0.71,4,296,2,0,0,"1","left"
"378",0.44,0.56,2,158,3,0,0,"1","left"
"379",0.31,0.56,4,238,2,0,0,"1","left"
"382",0.38,0.46,2,145,3,0,0,"1","left"
"385",0.36,0.48,2,156,3,0,0,"2","left"
"386",0.75,0.9,5,256,5,0,0,"0","left"
"387",0.1,0.93,6,298,4,0,0,"1","left"
"388",0.1,0.97,6,247,4,0,0,"1","left"
"389",0.45,0.5,2,157,3,0,0,"1","left"
"390",0.42,0.57,2,154,3,1,0,"1","left"
"391",0.78,1,4,253,5,0,0,"0","left"
"393",0.84,1,4,261,5,0,0,"0","left"
"394",0.11,0.93,6,282,4,0,0,"0","left"
"395",0.42,0.56,2,133,3,0,0,"0","left"
"397",0.46,0.57,2,139,3,0,0,"0","left"
"398",0.09,0.79,6,293,5,0,0,"0","left"
"399",0.87,0.83,4,265,6,0,0,"0","left"
"400",0.1,0.87,6,250,4,0,0,"0","left"
"401",0.91,1,5,251,6,0,0,"0","left"
"402",0.76,0.92,4,246,5,0,0,"0","left"
"403",0.74,1,5,275,5,0,0,"0","left"
"404",0.92,0.93,5,240,5,0,0,"0","left"
"407",0.73,0.99,5,241,5,0,0,"0","left"
"408",0.09,0.94,6,257,4,0,0,"0","left"
"409",0.91,0.92,4,246,5,0,0,"0","left"
"411",0.28,0.45,6,218,4,0,0,"0","left"
"412",0.84,0.99,4,262,6,0,0,"1","left"
"413",0.45,0.53,2,138,3,0,0,"1","left"
"416",0.42,0.48,2,155,3,0,0,"1","left"
"418",0.11,0.9,6,264,4,0,0,"1","left"
"419",0.42,0.53,3,199,4,0,0,"1","left"
"420",0.82,0.85,4,223,5,0,0,"1","left"
"421",0.09,0.96,6,268,4,0,0,"1","left"
"422",0.1,0.94,6,287,4,0,0,"1","left"
"423",0.86,1,5,257,5,0,0,"1","left"
"424",0.4,0.46,2,143,3,0,0,"2","left"
"425",0.45,0.46,2,130,3,0,0,"0","left"
"428",0.55,0.6,3,180,4,0,0,"1","left"
"429",0.37,0.45,2,126,3,0,0,"1","left"
"430",0.41,0.52,2,127,3,1,0,"0","left"
"432",0.41,0.57,2,160,3,0,0,"0","left"
"433",0.44,0.51,2,150,3,0,0,"0","left"
"434",0.87,0.84,4,264,6,0,0,"0","left"
"435",0.1,0.84,6,309,4,0,0,"0","left"
"436",0.41,0.47,2,135,3,0,0,"0","left"
"438",0.43,0.53,2,160,3,0,0,"0","left"
"440",0.41,0.52,2,136,3,0,0,"0","left"
"441",0.41,0.48,2,139,3,0,0,"0","left"
"443",0.77,1,5,229,5,0,0,"0","left"
"444",0.81,0.98,5,245,5,0,0,"0","left"
"445",0.39,0.54,2,127,3,0,0,"0","left"
"446",0.09,0.94,6,283,5,0,0,"0","left"
"447",0.44,0.46,2,143,3,0,0,"0","left"
"448",0.1,0.84,5,298,4,0,0,"0","left"
"449",0.36,0.48,2,159,3,0,0,"0","left"
"451",0.81,0.9,4,226,5,0,0,"1","left"
"452",0.85,0.98,5,248,5,0,0,"1","left"
"454",0.37,0.54,2,145,3,0,0,"1","left"
"455",0.09,0.97,7,254,4,1,0,"1","left"
"456",0.44,0.53,2,127,3,0,0,"1","left"
"457",0.86,0.93,5,223,5,0,0,"1","left"
"458",0.77,1,4,255,5,0,0,"1","left"
"459",0.41,0.48,2,136,3,0,0,"1","left"
"461",0.43,0.49,2,135,3,0,0,"1","left"
"462",0.43,0.5,2,137,3,0,0,"1","left"
"463",0.8,0.53,3,255,5,0,0,"2","left"
"464",0.8,0.85,4,273,5,0,0,"0","left"
"465",0.82,0.98,5,234,5,0,0,"1","left"
"466",0.37,0.54,2,152,3,0,0,"1","left"
"469",0.9,0.92,5,245,5,0,0,"0","left"
"470",0.41,0.52,2,159,3,0,0,"0","left"
"471",0.1,0.85,6,260,4,0,0,"0","left"
"472",0.44,0.53,2,149,3,0,0,"0","left"
"473",0.89,0.85,5,266,5,0,0,"0","left"
"475",0.87,1,5,242,5,0,0,"0","left"
"477",0.11,0.87,5,271,4,0,0,"0","left"
"478",0.09,0.79,6,275,4,0,0,"0","left"
"479",0.76,0.83,5,227,5,0,0,"0","left"
"480",0.11,0.96,7,277,5,0,0,"0","left"
"481",0.37,0.49,2,151,3,0,0,"0","left"
"482",0.1,0.79,6,274,4,0,0,"0","left"
"484",0.42,0.54,2,143,3,1,0,"0","left"
"486",0.32,0.95,5,172,2,0,0,"0","left"
"487",0.38,0.49,2,135,3,0,0,"0","left"
"488",0.19,1,4,192,4,0,0,"0","left"
"489",0.1,0.83,7,276,4,0,0,"0","left"
"490",0.76,0.88,4,206,4,0,0,"1","left"
"492",0.39,0.51,2,151,3,0,0,"1","left"
"493",0.11,0.83,6,244,4,0,0,"1","left"
"494",0.1,0.94,6,309,4,0,0,"1","left"
"495",0.84,1,5,218,5,0,0,"1","left"
"496",0.82,0.99,4,263,6,0,0,"1","left"
"497",0.1,0.82,6,244,4,0,0,"1","left"
"498",0.59,0.49,7,263,4,0,0,"1","left"
"500",0.89,0.95,2,181,5,0,0,"1","left"
"501",0.91,0.84,5,265,5,0,0,"1","left"
"502",0.66,0.57,5,161,5,0,0,"2","left"
"503",0.11,0.87,7,282,5,0,0,"0","left"
"504",0.43,0.51,2,155,3,0,0,"1","left"
"505",0.78,0.83,4,217,6,0,0,"1","left"
"506",0.11,0.97,6,289,5,0,0,"1","left"
"507",0.83,0.98,4,259,5,0,0,"1","left"
"508",0.39,0.54,2,158,3,0,0,"0","left"
"509",0.38,0.55,2,158,3,0,0,"0","left"
"510",0.37,0.57,2,155,3,0,0,"0","left"
"511",0.44,0.48,2,146,3,0,0,"0","left"
"514",0.11,0.89,6,293,4,0,0,"0","left"
"515",0.83,0.96,5,275,5,0,0,"0","left"
"516",0.88,1,5,219,6,1,0,"0","left"
"517",0.1,0.89,6,247,4,0,0,"0","left"
"518",0.09,0.86,7,309,4,0,0,"0","left"
"519",0.44,0.54,2,151,3,0,0,"0","left"
"520",0.39,0.51,2,129,3,0,0,"0","left"
"521",0.87,0.94,4,274,5,0,0,"0","left"
"522",0.74,0.99,4,233,5,0,0,"0","left"
"523",0.1,0.95,7,289,4,0,0,"0","left"
"524",0.74,0.82,4,239,6,0,0,"0","left"
"525",0.75,0.99,5,221,5,0,0,"0","left"
"527",0.41,0.45,2,144,3,1,0,"0","left"
"528",0.09,0.9,7,289,4,0,0,"0","left"
"529",0.09,0.8,6,301,5,0,0,"1","left"
"530",0.39,0.57,2,145,3,0,0,"1","left"
"532",0.37,0.54,2,131,3,1,0,"1","left"
"533",0.1,0.84,6,246,4,0,0,"1","left"
"534",0.43,0.51,2,136,3,0,0,"1","left"
"537",0.11,0.85,6,305,4,0,0,"1","left"
"538",0.45,0.45,2,154,3,1,0,"1","left"
"539",0.87,1,5,261,5,1,0,"1","left"
"540",0.11,0.94,7,244,4,0,0,"1","left"
"543",0.77,0.91,5,236,5,0,0,"1","left"
"544",0.89,0.92,5,237,5,0,0,"1","left"
"545",0.43,0.49,2,135,3,0,0,"1","left"
"547",0.37,0.47,2,149,3,0,0,"0","left"
"548",0.37,0.5,2,141,3,0,0,"0","left"
"549",0.85,0.82,4,270,5,0,0,"0","left"
"550",0.41,0.47,2,138,3,0,0,"0","left"
"551",0.11,0.96,6,298,4,0,0,"0","left"
"552",0.75,0.99,5,254,5,0,0,"0","left"
"554",0.79,1,5,257,6,0,0,"0","left"
"556",0.1,0.9,7,281,4,0,0,"0","left"
"557",0.46,0.48,2,141,3,1,0,"0","left"
"558",0.43,0.57,2,157,3,0,0,"0","left"
"559",0.43,0.55,2,136,3,0,0,"0","left"
"560",0.11,0.8,7,296,4,0,0,"0","left"
"561",0.09,0.86,6,279,4,0,0,"0","left"
"562",0.37,0.53,2,131,3,0,0,"0","left"
"565",0.41,0.53,2,157,3,0,0,"0","left"
"566",0.79,0.58,3,294,4,0,0,"0","left"
"568",0.1,0.97,6,282,4,0,0,"1","left"
"571",0.44,0.52,2,137,3,0,0,"1","left"
"572",0.73,1,4,252,5,0,0,"1","left"
"573",0.75,0.97,5,243,6,0,0,"1","left"
"574",0.36,0.47,2,148,3,0,0,"1","left"
"575",0.37,0.49,2,151,3,0,0,"1","left"
"576",0.39,0.49,2,129,3,0,0,"1","left"
"577",0.48,0.78,2,198,2,0,0,"1","left"
"578",0.57,0.72,4,275,6,0,0,"1","left"
"580",0.39,0.55,2,159,3,0,0,"2","left"
"581",0.44,0.51,2,145,3,0,0,"0","left"
"582",0.81,0.88,5,242,5,0,0,"1","left"
"583",0.74,0.87,5,242,5,0,0,"1","left"
"584",0.44,0.56,2,145,3,0,0,"1","left"
"585",0.41,0.56,2,154,3,0,1,"1","left"
"586",0.4,0.51,2,139,3,0,0,"0","left"
"587",0.46,0.57,2,152,3,0,0,"0","left"
"588",0.8,0.83,2,211,3,0,0,"0","left"
"589",0.87,0.9,5,258,5,0,0,"0","left"
"590",0.39,0.54,2,155,3,0,0,"0","left"
"591",0.38,0.55,2,148,3,0,0,"0","left"
"592",0.66,0.67,2,255,3,0,0,"0","left"
"593",0.1,0.8,6,264,4,0,0,"0","left"
"594",0.37,0.54,2,132,3,0,0,"0","left"
"595",0.1,0.77,6,255,4,0,0,"0","left"
"596",0.09,0.87,5,263,4,0,0,"0","left"
"597",0.86,0.84,5,222,5,0,0,"0","left"
"598",0.11,0.9,6,263,4,0,0,"0","left"
"599",0.37,0.46,2,157,3,0,0,"0","left"
"600",0.11,0.92,7,307,4,0,0,"0","left"
"601",0.77,0.98,5,259,6,0,0,"0","left"
"602",0.84,0.94,5,222,6,0,0,"0","left"
"603",0.1,0.84,7,250,4,0,0,"0","left"
"604",0.83,0.9,5,245,5,0,0,"0","left"
"605",0.11,0.79,6,292,4,0,0,"0","left"
"606",0.86,0.92,5,252,5,0,0,"0","left"
"607",0.38,0.56,2,161,3,0,0,"1","left"
"608",0.11,0.88,5,250,4,0,0,"1","left"
"609",0.45,0.49,2,134,3,0,0,"1","left"
"610",0.1,0.85,7,279,4,0,0,"1","left"
"612",0.39,0.53,2,127,3,0,0,"1","left"
"614",0.81,0.97,5,243,5,0,0,"1","left"
"615",0.09,0.9,7,296,4,0,0,"1","left"
"616",0.1,0.88,7,267,4,0,0,"1","left"
"618",0.83,0.95,4,251,5,0,0,"1","left"
"619",0.45,0.57,2,148,3,0,0,"2","left"
"620",0.43,0.51,2,141,3,0,0,"0","left"
"621",0.8,0.75,3,268,2,0,0,"1","left"
"622",0.1,0.86,6,247,4,0,0,"1","left"
"623",0.1,0.55,2,247,4,0,0,"1","left"
"624",0.36,0.52,2,146,3,0,0,"1","left"
"625",0.38,0.5,2,140,3,0,0,"0","left"
"627",0.44,0.49,2,145,3,0,0,"0","left"
"628",0.41,0.46,2,156,3,1,0,"0","left"
"630",0.46,0.54,2,144,3,0,0,"0","left"
"632",0.34,0.67,4,141,2,0,0,"0","left"
"633",0.11,0.89,6,260,5,0,0,"0","left"
"634",0.38,0.56,2,154,3,0,0,"0","left"
"635",0.82,0.92,5,225,5,0,0,"0","left"
"637",0.44,0.53,2,140,3,0,0,"0","left"
"638",0.43,0.52,2,147,3,0,0,"0","left"
"639",0.84,0.83,4,227,5,0,0,"0","left"
"640",0.43,0.48,2,153,3,0,0,"0","left"
"641",0.37,0.52,2,128,3,0,0,"0","left"
"643",0.73,0.97,5,235,5,0,0,"0","left"
"644",0.37,0.47,2,148,3,0,0,"0","left"
"645",0.58,0.62,4,238,3,0,0,"0","left"
"646",0.4,0.54,2,141,3,0,0,"1","left"
"647",0.51,0.83,5,249,4,0,0,"1","left"
"648",0.46,0.5,2,151,3,0,0,"1","left"
"649",0.45,0.54,2,129,3,0,0,"1","left"
"651",0.39,0.45,2,134,3,0,0,"1","left"
"652",0.09,0.88,6,269,4,0,0,"1","left"
"653",0.09,0.77,6,290,4,0,0,"1","left"
"654",0.37,0.51,2,132,3,0,0,"1","left"
"655",0.1,0.89,7,308,4,0,0,"1","left"
"656",0.77,1,4,232,5,0,0,"1","left"
"657",0.79,0.86,5,235,5,0,0,"1","left"
